username,display_name,role,brand_keys,dept
pilot001,张三,bd,midea,建材业务部-KA卫浴组
pilot002,李四,bd,joyoung,建材业务部-KA卫浴组
pilot003,王五,bd,supor,建材业务部-基础建材组
pilot004,赵六,bd,bear,建材业务部-基础建材组
pilot005,孙七,bd,morphy,建材业务部-基础建材组
pilot006,周八,bd,midea,建材业务部-KA卫浴组
pilot007,吴九,bd,joyoung,建材业务部-KA卫浴组
pilot008,郑十,bd,supor,建材业务部-基础建材组
pilot009,刘一,bd,bear,建材业务部-基础建材组
pilot010,陈二,bd,morphy,建材业务部-基础建材组
pilot011,黄伟,bd,midea,建材业务部-KA卫浴组
pilot012,许芳,bd,joyoung,建材业务部-KA卫浴组
pilot013,何杰,bd,supor,建材业务部-基础建材组
pilot014,高明,bd,bear,建材业务部-基础建材组
pilot015,林磊,bd,morphy,建材业务部-基础建材组
pilot016,马楠,bd,midea,建材业务部-KA卫浴组
pilot017,雷鹏,bd,joyoung,建材业务部-KA卫浴组
pilot018,丁静,bd,supor,建材业务部-基础建材组
pilot019,胡敏,bd,bear,建材业务部-基础建材组
pilot020,杨阳,bd,morphy,建材业务部-基础建材组
pilot021,张丽,bd,midea,建材业务部-KA卫浴组
pilot022,李鑫,bd,joyoung,建材业务部-KA卫浴组
pilot023,王峰,bd,supor,建材业务部-基础建材组
pilot024,赵娜,bd,bear,建材业务部-基础建材组
pilot025,孙悦,bd,morphy,建材业务部-基础建材组
pilot026,周三,bd,midea,建材业务部-KA卫浴组
pilot027,吴四,bd,joyoung,建材业务部-KA卫浴组
pilot028,郑五,bd,supor,建材业务部-基础建材组
pilot029,刘六,bd,bear,建材业务部-基础建材组
pilot030,陈七,bd,morphy,建材业务部-基础建材组
pilot031,黄八,bd,midea,建材业务部-KA卫浴组
pilot032,许九,bd,joyoung,建材业务部-KA卫浴组
pilot033,何十,bd,supor,建材业务部-基础建材组
pilot034,高一,bd,bear,建材业务部-基础建材组
pilot035,林二,bd,morphy,建材业务部-基础建材组
pilot036,马伟,bd,midea,建材业务部-KA卫浴组
pilot037,雷芳,bd,joyoung,建材业务部-KA卫浴组
pilot038,丁杰,bd,supor,建材业务部-基础建材组
pilot039,胡明,bd,bear,建材业务部-基础建材组
pilot040,杨磊,bd,morphy,建材业务部-基础建材组
pilot041,张楠,bd,midea,建材业务部-KA卫浴组
pilot042,李鹏,bd,joyoung,建材业务部-KA卫浴组
pilot043,王静,bd,supor,建材业务部-基础建材组
pilot044,赵敏,bd,bear,建材业务部-基础建材组
pilot045,孙阳,bd,morphy,建材业务部-基础建材组
pilot046,周丽,bd,midea,建材业务部-KA卫浴组
pilot047,吴鑫,bd,joyoung,建材业务部-KA卫浴组
pilot048,郑峰,bd,supor,建材业务部-基础建材组
pilot049,刘娜,bd,bear,建材业务部-基础建材组
pilot050,陈悦,bd,morphy,建材业务部-基础建材组
mgr01,采销一组长,manager,"midea,joyoung",建材业务部-KA卫浴组
mgr02,采销二组长,manager,"joyoung,supor",建材业务部-KA卫浴组
mgr03,采销三组长,manager,"supor,bear",建材业务部-基础建材组
mgr04,采销四组长,manager,"bear,morphy",建材业务部-基础建材组
mgr05,采销五组长,manager,"morphy,midea",建材业务部-基础建材组
vp01,建材负责人A,readonly,"midea,joyoung,supor,bear,morphy",建材业务部
vp02,建材负责人B,readonly,"midea,joyoung,supor,bear,morphy",建材业务部
